ipa	members
aʊə	hour our
aʊəz	hours ours
hʌlɐbæluː	hullaballoo hullabaloo
hjuːməɹəs	humerus humorous
həzɑː	huzza huzzah
aɪdz	ides ids
aɪdəl	idle idol
aɪdəlz	idles idols
ɪmuːvəbəl	immovable immoveable
ɪmpɒstɐ	imposter impostor
ɪmpɒstəz	imposters impostors
ɪnsaɪt	incite insight
ɪnsaɪts	incites insights
ɪndɪskɹiːt	indiscreet indiscrete
ɪn	in inn
ɪnz	inns ins
ɪnnjuːɛndəʊz	innuendoes innuendos
ɪnʃɔː	inshore insure
ɪnstɔːlmənt	installment instalment
ɪnstɔːlmənts	installments instalments
ɪnstɔːl	instal install
ɪnstɪl	instil instill
ɪnsjʊlɐ	insula insular
ɪntəsɛʃən	intercession intersession
dʒeɪlɐ	jailer jailor
dʒeɪləz	jailers jailors
jɑː	ja yah
dʒæm	jam jamb
dʒæmz	jambs jams
dʒeɪ	j jay
dʒɪŋks	jinks jinx
dʒʌdʒmɛntəl	judgemental judgmental
dʒʌdʒmənt	judgement judgment
dʒʌdʒmənts	judgements judgments
dʒʌŋki	junkie junky
kaɪl	kail kyle
kaɪn	kain kine
kiːnəʊ	keno kino
kɛnt	kent kente
kɪblɐ	kiblah qibla
kɪdi	kiddie kiddy
kaɪ	ki qi
kaɪndɐ	kinda kinder
kɪst	kissed kist
nækɐ	knacker nacre
næp	knap nap
næpt	knapped napped
næpɪŋ	knapping napping
neɪv	knave nave
neɪvz	knaves naves
niːdɪd	kneaded needed
niːdɪŋ	kneading needing
niːdz	kneads needs
njuː	knew new
nɪkɐ	knicker nicker
nɪkəz	knickers nickers
naɪtli	knightly nightly
naɪts	knights nights
nɪt	knit nit
nɪts	knits nits
nɒbi	knobby nobby
nɒb	knob nob
nɒbz	knobs nobs
nɒk	knock nock
nɒks	knocks nocks
nəʊl	knoll noel
nɒt	knot not
naʊt	knout nowt
nəʊhaʊ	knowhow nohow
kuːki	kookie kooky
kəʊpəks	kopecks kopeks
leɪbɐ	labor labour
lækɹɪməl	lachrymal lacrimal
leɪsɪŋ	lacing lasing
læks	lacks lax
leɪd	lade laid
leɪn	lain lane
leəz	lairs lares
lɑːmɐ	lama llama
lɑːməz	lamas llamas
læmɪŋ	lambing lamming
læm	lam lamb
læmz	lambs lams
læps	laps lapse
lɑːdʒɛs	largess largesse
lɑːvɐ	larva lava
ləzænjɐ	lasagna lasagne
læsɪz	lasses lassies
læsuːz	lassoes lassos
lɔːdɪd	lauded lorded
lɔːdɪŋ	lauding lording
lɔːn	lawn lorn
lɔːz	laws lures
lɔɪəli	lawyerly loyally
liːtʃt	leached leeched
liːtʃɪz	leaches leeches
liːtʃɪŋ	leaching leeching
liːtʃ	leach leech
liːdɐ	leader lieder
liːf	leaf lief
liːk	leak leek
liːks	leaks leeks
liː	lea lee
lɛpt	leapt lept
liːz	leas lees
liːvɐ	leaver lever
liːvəz	leavers levers
lɛfti	leftie lefty
lɛmən	leman lemon
liːnəʊ	leno lino
lɛsən	lessen lesson
lɛsənz	lessens lessons
luːkəsaɪts	leucocytes leukocytes
laɪəz	liars lyres
laɪbələs	libellous libelous
laɪsəns	licence license
laɪsənsɪz	licences licenses
laɪsənsɪŋ	licencing licensing
laɪkən	lichen liken
laɪkənz	lichens likens
lɪkɐ	licker liquor
laɪz	lies lyse
laɪt	light lite
laɪkəbəl	likable likeable
lɪntʃpɪn	linchpin lynchpin
lɪŋks	links lynx
lɪkwɪfaɪd	liquefied liquified
lɪkwɪfaɪ	liquefy liquify
liːtəz	litas litres
lɪtəɹəl	literal littoral
lɪvɐ	liver livre
ləʊdz	loads lodes
ləʊnɐ	loaner loner
ləʊnəz	loaners loners
ləʊn	loan lone
ləʊkeɪtɐ	locater locator
lɒks	locks lox
ləʊ	lo low
lɒlɪpɒp	lollipop lollypop
lɒlɪpɒps	lollipops lollypops
luːni	looney loony
luːn	loon lune
luːs	loose luce
luːsən	loosen lucerne
luːzɐ	looser loser
luːtɪŋ	looting luting
luːt	loot lute
luːts	loots lutes
lʌf	lough luff
lɜː	lour lur
lʌvəbəl	lovable loveable
lʌvəbli	lovably loveably
lʌvi	lovey luvvie
mækɪntɒʃɪz	macintoshes mackintoshes
mækɪntɒʃ	macintosh mackintosh
mæk	mac mack
mæks	macks macs
mædəm	madam madame
meɪd	made maid
meɪl	mail male
meɪlz	mails males
meɪn	main mane
meɪz	maize maze
mælɑːki	malarkey malarky
mɑː	ma mar
mənuːvɐ	maneuver manoeuvre
mæŋɡəʊz	mangoes mangos
mænɪfɛstəʊz	manifestoes manifestos
mænəz	manners manors
mɑːntəl	mantel mantle
mɑːntəlpiːs	mantelpiece mantlepiece
mɑːntəlpiːsɪz	mantelpieces mantlepieces
meəz	mares mayors
mɑːkɐ	marker markka
mɑːks	marks marques
mɑːʃəl	marshal martial
meɪzɐ	maser mazer
mæs	mas mass
mæsɜːz	masseurs masseuse
mæts	mats matts
mɔːl	maul morel
mɔːlz	mauls morels
maɪə	maya mire
miːd	mead meed
miːɡɐ	meager meagre
miːli	mealie mealy
miːni	meanie meany
miːn	mean mene
miːtɪɐ	meatier meteor
mɛdəl	medal meddle
mɛdlɐ	meddler medlar
mɛdləz	meddlers medlars
mɛdɪiːvəl	mediaeval medieval
miːtɪŋ	meeting meting
məmɛntəʊz	mementoes mementos
miə	mere mir
mɛs	mes mess
mɛtəl	metal mettle
miːtɐ	meter metre
miːtəz	meters metres
mɪks	micks mix
maɪk	mic mike
maɪkɹəʊweɪvəbəl	microwavable microwaveable
maɪks	mics mikes
mɪdi	middy midi
maɪt	might mite
maɪts	mights mites
mɪl	mil mill
mɪlz	mills mils
maɪ	mi my
maɪnd	mind mined
maɪnəz	miners minors
mɪŋk	mink minke
mɪŋks	minks minx
mɜːk	mirk murk
mɪsdɪmiːnɐ	misdemeanor misdemeanour
mɪsdɪmiːnəz	misdemeanors misdemeanours
mɪsdʒʌdʒmənt	misjudgement misjudgment
mɪsdʒʌdʒmənts	misjudgements misjudgments
mɪst	missed mist
məʊɐ	moa mower
məʊn	moan mown
məʊəz	moas mowers
məʊt	moat mote
məʊts	moats motes
mɒdən	modern moderne
mɒɡi	moggie moggy
mwɑː	moi moire
məʊlɐ	mola molar
məʊləz	molars molas
məʊldɪd	molded moulded
məʊldɪŋ	molding moulding
məʊld	mold mould
mɒli	mollie molly
mɒlz	molls mols
mʌnɪd	moneyed monied
mʌnɪz	moneys monies
muːd	mood mooed
muː	moo mu
muːs	moose mousse
məʊpi	mopey mopy
mɔːnɪŋ	morning mourning
məskiːtəʊz	mosquitoes mosquitos
mɒt	mot motte
mɒtəʊz	mottoes mottos
maʊsɪz	mouses mousses
maʊsi	mousey mousy
muːvəbəl	movable moveable
mjuːkəs	mucous mucus
mʌntʃɪz	munches munchies
mɜːdəɹəs	murderess murderous
mʌsəl	muscle mussel
mʌsəlz	muscles mussels
mʌski	muskie musky
mʌst	mussed must
mʌstəd	mustard mustered
mʌt	mut mutt
mʌts	muts mutts
nɑːk	narc nark
nɑːks	narcs narks
nɔːt	naught nought
neɪvəl	naval navel
neɪ	nay neigh
neɪz	nays neighs
nɛbjʊlɐ	nebula nebular
neɪbəhʊd	neighborhood neighbourhood
neɪbəz	neighbors neighbours
nɪks	nicks nix
naɪti	nightie nighty
nʌnz	nones nuns
nʊki	nookie nooky
əʊk	oak oke
ɔːz	oars ores
əʊkɐ	ochre oka
ɒd	od odd
əʊd	ode owed
əʊdəz	odors odours
ɒft	offed oft
ɒfəɹɐ	offerer offeror
əʊz	ohs owes
əʊld	old olde
əʊldi	oldie oldy
uːz	oohs ooze
uː	oo ooh
əʊvɐ	ova over
əʊvəɹeɪt	overate overrate
əʊvəsiː	oversea oversee
peɪst	paced paste
peɪsɐ	pacer paisa
peɪsi	pacey pacy
pækt	packed pact
pæks	packs pax
piən	paean pean
piənz	paeans peans
peɪd	paid payed
peɪl	pail pale
peɪlz	pails pales
peɪnd	pained paned
peɪn	pain pane
peɪnz	pains panes
peəd	paired pared
peəɹɪŋ	pairing paring
peəɹɪŋz	pairings parings
peəz	pairs pares
pælət	palate palette
pæləts	palates palettes
pɑːmɐ	palmar palmer
pæmpɐ	pampa pamper
pæmpəz	pampas pampers
pændɐ	panda pander
pændəz	pandas panders
pɑːsəl	parcel passel
pɑːd	pard parred
pɑːlɐ	parlor parlour
pæɹətɪd	parotid parroted
pɑːs	parse pass
pɑːsɐ	parser passer
pɑːtɪd	parted partied
pɑːst	passed past
pɑːstɐ	pasta pastor
pɑːstəz	pastas pastors
pætən	patten pattern
pæti	pattie patty
pɔːn	pawn porn
piːs	peace piece
piːks	peaks peeks
piːld	pealed peeled
piːlɪŋ	pealing peeling
piːl	peal peel
piːlz	peals peels
pɜːl	pearl purl
pɛkɐdɪləʊz	peccadilloes peccadillos
pɛk	pec peck
pɛks	pecks pecs
pɛdəld	pedalled peddled
pɛdəlz	pedals peddles
pɛndənt	pendant pendent
pənɪnsjʊlɐ	peninsula peninsular
pɛɹi	peri perry
pɜː	per purr
piːtɐ	peter pita
pɛtɹəl	petrel petrol
fəʊni	phoney phony
fəʊnɪz	phoneys phonies
piːkɐ	pica pika
pɪk	pic pick
pɪɡmi	pigmy pygmy
pɪlæf	pilaf pilaff
pɪŋki	pinkie pinky
pɪs	pis piss
pɪst	pissed piste
pɪksɪleɪtɪd	pixilated pixillated
pleɪs	place plaice
pleɪd	plaid played
pleɪnɐ	plainer planer
pleɪn	plain plane
pleɪnz	plains planes
pleɪtɪd	plaited plated
pleɪtɪŋ	plaiting plating
pleɪt	plait plate
pleɪts	plaits plates
plɑːntɐ	plantar planter
plætəʊ	plateau plateaux
pleɪɐ	playa player
pliːz	pleas please
plaʊmən	ploughman plowman
plʌmɐ	plumber plummer
plʌm	plum plumb
plʌmz	plumbs plums
plʌmi	plummy plumy
plʌsɪz	pluses plusses
pɒks	pocks pox
pəʊki	pokey poky
pəʊld	poled polled
pəʊlɪŋ	poling polling
puːɪŋ	poohing pooing
puː	poo pooh
puːz	poohs poos
pɔːɹɐ	poorer pourer
pɒpɐ	poppa popper
pɔːtɪkəʊz	porticoes porticos
pəʊzɪz	poses posies
pɒsi	posse possie
pɒtɪdʒ	potage pottage
pɹæktɪs	practice practise
pɹæktɪsɪz	practices practises
pɹæktɪsɪŋ	practicing practising
pɹeɪd	prayed preyed
pɹeɪɪŋ	praying preying
pɹeɪ	pray prey
pɹɛsɐ	presser pressor
pɹɛsɪz	presses pressies
pɹaɪsi	pricey pricy
pɹaɪd	pride pried
pɹɪnsɪpəl	principal principle
pɹɪnsɪpəlz	principals principles
pɹaɪɐ	prior pryer
pɹaɪz	prise prize
pɹɒfɪt	profit prophet
pɹɒfɪts	profits prophets
pɹəʊɡɹæm	program programme
pɹəʊɡɹæmz	programmes programs
pɹəpɛlɐ	propeller propellor
pɹəpɛləz	propellers propellors
pɹɒfəsi	prophecy prophesy
pɹəʊz	pros prose
pɹətɛstɐ	protester protestor
pɹətɛstəz	protesters protestors
sɒltɐ	psalter salter
saɪ	psi sigh
pjuːpəl	pupal pupil
pʊsɪz	pusses pussies
pʌts	putts putz
kwɒd	quad quod
kwɔːts	quarts quartz
kwɛstɐ	quester questor
kwɪnz	quins quinze
ɹækuːn	raccoon racoon
ɹækuːnz	raccoons racoons
ɹæk	rack wrack
ɹækt	racked wracked
ɹækɪŋ	racking wracking
ɹæks	racks wracks
ɹeɪl	rail rale
ɹeɪzɐ	raiser razor
ɹeɪzəz	raisers razors
ɹeɪzɪŋ	raising razing
ɹæp	rap wrap
ɹæpɐ	rapper wrapper
ɹæpəz	rappers wrappers
ɹæpɪŋ	rapping wrapping
ɹæps	raps wraps
ɹeɪtəbəl	ratable rateable
ɹætən	ratan rattan
ɹæθ	rath wrath
ɹɔː	raw roar
ɹiːdz	reads reeds
ɹiəlz	reales reals
ɹɪsiːdɪd	receded reseeded
ɹɪsiːd	recede reseed
ɹɪsiːdɪŋ	receding reseeding
ɹɪsiːtɪd	receipted reseated
ɹɪsaɪtɪŋ	reciting resiting
ɹɛk	reck wreck
ɹɛd	red redd
ɹiːkt	reeked wreaked
ɹiːk	reek wreak
ɹiːkɪŋ	reeking wreaking
ɹiːks	reeks wreaks
ɹiːl	reel riel
ɹaɪz	reis rise
ɹɪpɛlənt	repellant repellent
ɹɪpɛlənts	repellants repellents
ɹɛp	rep repp
ɹɪsɪstəz	resisters resistors
ɹɪsɪstɐ	resister resistor
ɹɛstɪd	rested wrested
ɹɛst	rest wrest
ɹɛsts	rests wrests
ɹɛtʃ	retch wretch
ɹɪvjuːz	reviews revues
ɹuːm	rheum room
ɹuːmi	rheumy roomy
ɹəʊ	rho roe
ɹəʊz	rhos roes
ɹaɪm	rhyme rime
ɹaɪmd	rhymed rimed
ɹaɪmz	rhymes rimes
ɹaɪɐ	ria rya
ɹaɪətɐ	riata rioter
ɹaɪtɐ	righter writer
ɹaɪtɪŋ	righting writing
ɹɪl	rill rille
ɹɪŋɐ	ringer wringer
ɹɪŋəz	ringers wringers
ɹɪŋɪŋ	ringing wringing
ɹɪŋ	ring wring
ɹɪŋz	rings wrings
ɹəʊd	road rode
ɹɒbɪn	robbin robin
ɹɒk	roc rock
ɹəʊl	role roll
ɹəʊlz	roles rolls
ɹɒndəʊ	rondeau rondo
ɹʊki	rookie rooky
ɹuːtəz	rooters routers
ɹuːtɪŋ	rooting routeing
ɹuːts	roots routes
ɹuːt	root route
ɹəʊpi	ropey ropy
ɹəʊtɐ	rota rotor
ɹəʊtəz	rotas rotors
ɹəʊt	rote wrote
ɹuːbəl	rouble rubel
ɹʌf	rough ruff
ɹʌfli	roughly ruffly
ɹuːməd	rumored rumoured
ɹuːməz	rumors rumours
ɹʌŋ	rung wrung
ɹaɪ	rye wry
sækəɹɪn	saccharin saccharine
sæʃeɪ	sachet sashay
sæk	sac sack
seɪlɐ	sailer sailor
seɪl	sail sale
seɪlz	sails sales
sælvəʊz	salvoes salvos
seɪnɐ	saner seiner
seɪn	sane seine
sɔːst	sauced sorest
sɔːs	sauce source
sɔːsɪz	sauces sources
sɔːsɪŋ	saucing sourcing
seɪvɐ	saver savour
seɪvəz	savers savours
sɔːɹɪŋ	sawing soaring
sɔːn	sawn sorn
sɔɪɐ	sawyer soya
skæpjʊlɐ	scapula scapular
skɑː	scar ska
skæt	scat skat
sɛndɪŋ	scending sending
siːn	scene seen
skiːmɐ	schema schemer
ʃɪlɪŋ	schilling shilling
ʃɪlɪŋz	schillings shillings
ʃlɛp	schlep shlep
sɪɹɒkəʊ	scirocco sirocco
skɹʌntʃɪz	scrunches scrunchies
skɹʌntʃi	scrunchie scrunchy
skʌl	scull skull
skʌlz	sculls skulls
siːmən	seaman semen
siːmd	seamed seemed
siːmɪŋ	seaming seeming
siːm	seam seem
siːmz	seams seems
siə	sear sere
siəz	sears seers
sɛks	secs sex
siːkɐ	seeker sika
sɛnɐ	senna senor
sɛns	sens sense
sɜːf	serf surf
sɜːfs	serfs surfs
sɜːdʒ	serge surge
sɛtiː	setae settee
sɛt	set sett
sɛts	sets setts
səʊd	sewed sowed
səʊɪŋ	sewing sowing
sɛkst	sexed sext
ʃeɪks	shakes sheiks
ʃiəd	sheared sheered
ʃiəɹɪŋ	shearing sheering
ʃiəz	shears sheers
ʃɛɹɪf	sherif sheriff
ʃəʊ	shew show
ʃɪvɐ	shivah shiver
ʃəʊt	shoat shote
ʃuːd	shoed shooed
ʃuːɪŋ	shoeing shooing
ʃuːz	shoes shoos
ʃuː	shoe shoo
ʃɒp	shop shoppe
ʃɔːti	shortie shorty
ʃʌvəlɐ	shoveler shoveller
sɪk	sic sick
saɪd	side sighed
saɪz	sighs size
sɪnjɔː	signor signore
saɪnz	signs sines
sɪlvən	silvan sylvan
sɪlvɐ	silva silver
sɪŋkɪŋ	sinking syncing
sɪŋk	sink sync
sɪŋks	sinks syncs
sɜːɹɐ	sirrah sura
sɪtəz	sitars sitters
sɪtɐ	sitar sitter
saɪzəbəl	sizable sizeable
skɪlfəli	skilfully skillfully
skɪlfəl	skilful skillful
skʌldəɡəɹi	skulduggery skullduggery
sleɪd	slayed sleighed
sleɪɪŋ	slaying sleighing
sleɪ	slay sleigh
sleɪz	slays sleighs
slaɪt	sleight slight
slaɪts	sleights slights
sləʊ	sloe slow
sləʊz	sloes slows
sməʊki	smokey smoky
sməʊldəɹɪŋ	smoldering smouldering
smuːði	smoothie smoothy
səʊbɐ	soba sober
sɒks	socks sox
sɒfti	softie softy
səʊlɐ	sola solar
səʊl	sole soul
sʌməsɒlt	somersault summersault
sʌm	some sum
sʌni	sonny sunny
sʌn	son sun
suːð	sooth soothe
sɔːɹɐ	sora sorer
sɔːtɐ	sorta sorter
sɔːt	sort sought
suːz	sous sues
speɪsi	spacey spacy
speɪd	spade spayed
spɑː	spa spar
spɑːz	spars spas
spiːkɐ	speaker spica
spɛk	spec speck
spɛks	specks specs
spɪk	spic spick
spɪks	spicks spics
spaɪəɹəld	spiraled spiralled
spɜːt	spirt spurt
spɪtəl	spital spittle
spɪts	spits spitz
splɛndɐ	splendor splendour
spɔː	spoor spore
spɹɪts	sprits spritz
skwɪɹəld	squirreled squirrelled
skwɜːɹəlɪŋ	squirreling squirrelling
steɪdʒi	stagey stagy
steɪd	staid stayed
steɪn	stain stane
steəz	stairs stares
steə	stair stare
steɪks	stakes steaks
steɪk	stake steak
stɔːks	stalks storks
stɔːk	stalk stork
steɪʃənəɹi	stationary stationery
stiːlɪŋ	stealing steeling
stiːlz	steals steels
stiːl	steal steel
stɛlɐ	stela stellar
stɛps	steppes steps
stɛp	step steppe
stɜːnɐ	sterna sterner
stɪtʃ	stich stitch
staɪlz	stiles styles
staɪl	stile style
stɪlɛtəʊz	stilettoes stilettos
stəʊni	stoney stony
stuːps	stoops stoups
stuːp	stoop stoup
stɔː	store stour
stɔːɹɪz	storeys stories
stɔːɹi	storey story
stɹeɪtənd	straightened straitened
stɹeɪtdʒækɪt	straightjacket straitjacket
stɹeɪts	straights straits
stɹeɪt	straight strait
stɹaɪpi	stripey stripy
stʌdɪd	studded studied
stjuːpɐ	stupa stupor
staɪ	sty stye
sweɪd	suede swayed
swiːts	suites sweets
sʌlfeɪt	sulfate sulphate
sʌlfaɪd	sulfide sulphide
sʌməɹi	summary summery
suːpəhiəɹəʊz	superheroes superheros
swɒpt	swapped swopped
swɒpɪŋ	swapping swopping
swɒp	swap swop
swɒts	swats swots
swɒt	swat swot
swɒtɪd	swatted swotted
swɒtɪŋ	swatting swotting
swɪz	swiz swizz
tæbuːleɪ	tabbouleh tabouleh
tæk	tach tack
tækt	tacked tact
tæks	tacks tax
tiːd	taed teed
tɔːki	talkie talky
tɔːkɪŋ	talking torquing
tɔːk	talk torque
tæmbɐ	tambour timbre
tɑː	ta tar
tɑːtɐ	tartar tarter
tæs	tass tasse
tæti	tattie tatty
tævənɐ	taverna taverner
tɔːni	tawny tourney
tiːmd	teamed teemed
tiːmɪŋ	teaming teeming
tiːmz	teams teems
tiːm	team teem
tiːzəl	teasel teazle
tɛki	techie techy
tiːpiːz	teepees tepees
tiːpiː	teepee tepee
tɛmpt	temped tempt
tɛnəz	tenners tenors
tɛnɐ	tenner tenor
tɛnsɐ	tenser tensor
tɜːnz	terns turns
tɜːn	tern turn
tɛɹɐ	terra terror
θiətəz	theaters theatres
θiətɐ	theater theatre
ðiːz	thees these
ðeə	their there
ðəʊ	tho though
θɹəʊz	throes throws
θɹəʊ	throe throw
θɹəʊn	throne thrown
taɪm	thyme time
tɪkəl	tical tickle
tɪks	ticks tics
tɪk	tic tick
taɪd	tide tied
taɪɪŋ	tieing tying
taɪ	ti tie
taɪtənz	tightens titans
taɪtən	tighten titan
tɪl	til till
taɪəz	tires tyres
taɪə	tire tyre
taɪɹəʊ	tiro tyro
tɪtəz	titres titters
tɪtɐ	titre titter
təʊɪŋ	toeing towing
təʊz	toes tows
təʊ	toe tow
tɔɪl	toil toile
təʊk	toke toque
təʊlɐ	tola tolar
təʊld	told tolled
təʊl	tole toll
tɔːneɪdəʊz	tornadoes tornados
tɔːpiːdəʊz	torpedoes torpedos
tɔːts	tortes torts
tɒst	tossed tost
tʌf	tough tuff
taʊni	townie towny
tɹækt	tracked tract
tɹænkwɪlɪti	tranquility tranquillity
tɹænkwɪlaɪzəz	tranquillisers tranquillizers
tɹænkwɪlaɪzɐ	tranquilliser tranquillizer
tɹænsfɜːɹəbəl	transferable transferrable
tɹeɪ	tray trey
tɹiːtɪz	treaties treatise
tɹɛsəl	tressel trestle
tɹuːz	trews trues
tɹaɪkɔːn	tricorn tricorne
tɹɪst	triste tryst
tɹɒmp	tromp trompe
tɹuːpəz	troopers troupers
tɹuːpɐ	trooper trouper
tɹuːps	troops troupes
tɹuːp	troop troupe
tɹʌst	trussed trust
tsɑːɹiːnɐ	tsarina tzarina
tjuːbəz	tubas tubers
tjuːbɐ	tuba tuber
tʌks	tucks tux
tjuːnəz	tunas tuners
tjuːnɐ	tuna tuner
tʌksiːdəʊz	tuxedoes tuxedos
ʌndəstɔːɹi	understorey understory
ʌnlaɪkəbəl	unlikable unlikeable
ʌnmɪsteɪkəbəl	unmistakable unmistakeable
ʌnmɪsteɪkəbli	unmistakably unmistakeably
ʌnseɪləbəl	unsalable unsaleable
ʌnʃeɪkəbəl	unshakable unshakeable
ʌnwɒntɪd	unwanted unwonted
juːzəbəl	usable useable
veɪl	vail veil
veɪlz	vales veils
vælɐ	valor valour
veɪnz	vanes veins
veɪpəz	vapors vapours
veɪpɐ	vapor vapour
vɛlɐ	vela velour
vɛləm	vellum velum
viːnɐ	vena vina
vɛndɐ	vender vendor
vɛɹi	verey very
vɜːmɪliən	vermilion vermillion
vɜːsɪz	verses versus
vaɪəl	vial viol
vaɪd	vide vied
vɒlkeɪnəʊz	volcanoes volcanos
wɒbəl	wabble wobble
wækiəst	wackiest whackiest
wæk	wack whack
wæki	wacky whacky
weɪd	wade weighed
wɒdʒɪz	wadges wodges
weɪld	wailed whaled
weɪləz	wailers whalers
weɪlɪŋ	wailing whaling
weɪnz	wains wanes
weɪn	wain wane
weɪstɪd	waisted wasted
weɪsts	waists wastes
weɪst	waist waste
weɪtɪd	waited weighted
weɪtɪŋ	waiting weighting
weɪts	waits weights
weɪt	wait weight
weɪvd	waived waved
weɪvəz	waivers wavers
weɪvɐ	waiver waver
weɪvz	waives waves
weɪv	waive wave
weɪvɪŋ	waiving waving
wɔːlz	walls whorls
wɔːl	wall whorl
wɒnɐbiːz	wannabees wannabes
wɒnɐbiː	wannabe wannabee
wɒntɪd	wanted wonted
wɒntənz	wantons wontons
wɒntən	wanton wonton
wɒnt	want wont
wɔːd	ward warred
weəɹɪŋ	waring wearing
wɔːn	warn worn
wɔːɹɪŋ	warring whoring
wɔːt	wart wort
wɒtʃɐ	watcher wotcha
wɒts	watts whats
wæks	wax whacks
weɪz	ways weighs
wiːkli	weakly weekly
wiːk	weak week
wiːlz	weals wheels
wiːnɪŋ	weaning weening
weəɹəz	wearers whereas
wiːvɐ	weaver weever
wɛdʒɪz	wedges wedgies
wiːni	weenie weeny
wiə	weer weir
wiːz	wees wheeze
wɛld	weld welled
wɛli	wellie welly
wɛnz	wens whens
wɛn	wen when
wɛts	wets whets
wɛtɪd	wetted whetted
wɛtɪŋ	wetting whetting
wɛt	wet whet
wɪtʃ	which witch
wɪkəz	whickers wickers
wɪkɐ	whicker wicker
waɪld	whiled wild
waɪlz	whiles wiles
waɪl	while wile
waɪlɪŋ	whiling wiling
waɪnd	whined wined
waɪnz	whines wines
waɪn	whine wine
wɪndʒɪŋ	whingeing whinging
wɪŋɡəz	whingers wingers
wɪŋɡɐ	whinger winger
waɪnɪŋ	whining wining
wɪnz	whins wins
wɪn	whin win
wɜːld	whirled world
wɜːd	whirred word
wɜːz	whirrs whirs
wɪʃ	whish wish
wɪski	whiskey whisky
wɪskiz	whiskies whiskys
wɪst	whist wist
waɪt	white wight
waɪti	whitey whity
wɪðɐ	whither wither
wɪts	whits wits
wɪt	whit wit
wuːps	whoops woops
wɒps	whops wops
wɒp	whop wop
waɪz	whys wise
waɪ	why y
wɪlfəl	wilful willful
wɪli	willie willy
wɪð	with withe
wʊdz	woods woulds
wʊd	wood would
wʊlən	woolen woollen
wʊliz	woolies woollies
wʊli	woolly wooly
wɜːst	worst wurst
zuː	xu zoo
jækɪŋ	yacking yakking
jæks	yacks yaks
jɔːz	yaws yours
jəʊk	yoke yolk
jəʊks	yokes yolks
jʌk	yuck yuk
jʌki	yucky yukky
zɛd	z zed
ziəɹəʊz	zeroes zeros
